"lst","num","stop_id","dia"
Avanza,1,AMB_103931,2025-10-14
Avanza,1,AMB_103931,2025-10-15
Avanza,1,AMB_103933,2025-10-13
Avanza,1,AMB_103933,2025-10-14
Avanza,1,AMB_103933,2025-10-15
Moventis,1,AMB_104157,2025-10-13
Moventis,1,AMB_104157,2025-10-14
Moventis,1,AMB_104158,2025-10-13
Moventis,1,AMB_104158,2025-10-14
Moventis,1,AMB_104159,2025-10-13
Moventis,1,AMB_104159,2025-10-14
Moventis,1,AMB_104196,2025-10-13
Moventis,1,AMB_104196,2025-10-14
Moventis,1,AMB_104228,2025-10-13
Moventis,1,AMB_104228,2025-10-14
Moventis,1,AMB_104244,2025-10-13
Moventis,1,AMB_104244,2025-10-14
Moventis,1,AMB_104245,2025-10-13
Moventis,1,AMB_104245,2025-10-14
Moventis,1,AMB_104249,2025-10-13
Moventis,1,AMB_104249,2025-10-14
DIREXIS TUSGSAL,1,AMB_104263,2025-10-13
DIREXIS TUSGSAL,1,AMB_104263,2025-10-14
Monbus (Horta),1,AMB_104298,2025-10-13
Monbus (Horta),1,AMB_104298,2025-10-14
DIREXIS TUSGSAL,1,AMB_104330,2025-10-13
DIREXIS TUSGSAL,1,AMB_104330,2025-10-14
Moventis,1,AMB_104435,2025-10-13
Moventis,1,AMB_104435,2025-10-14
Monbus (Horta),1,AMB_104540,2025-10-13
Monbus (Horta),1,AMB_104540,2025-10-14
Moventis,1,AMB_104721,2025-10-13
Moventis,1,AMB_104721,2025-10-14
Avanza,1,AMB_104747,2025-10-13
Avanza,1,AMB_104747,2025-10-14
Avanza,1,AMB_104761,2025-10-13
Avanza,1,AMB_104761,2025-10-14
Avanza,1,AMB_104761,2025-10-15
Avanza,1,AMB_104769,2025-10-13
Avanza,1,AMB_104769,2025-10-14
Avanza,1,AMB_104769,2025-10-15
Avanza,1,AMB_104770,2025-10-13
Avanza,1,AMB_104770,2025-10-14
Avanza,1,AMB_104770,2025-10-15
Avanza,1,AMB_104771,2025-10-13
Avanza,1,AMB_104771,2025-10-14
Avanza,1,AMB_104771,2025-10-15
Moventis,1,AMB_105108,2025-10-13
Moventis,1,AMB_105108,2025-10-14
Avanza,1,AMB_105158,2025-10-13
Avanza,1,AMB_105158,2025-10-14
Avanza,1,AMB_105158,2025-10-15
Avanza,1,AMB_105349,2025-10-13
Avanza,1,AMB_105349,2025-10-14
DIREXIS TUSGSAL,1,AMB_105358,2025-10-13
DIREXIS TUSGSAL,1,AMB_105358,2025-10-14
DIREXIS TUSGSAL,1,AMB_105358,2025-10-15
DIREXIS TUSGSAL,1,AMB_105359,2025-10-13
DIREXIS TUSGSAL,1,AMB_105359,2025-10-14
DIREXIS TUSGSAL,1,AMB_105359,2025-10-15
DIREXIS TUSGSAL,1,AMB_105360,2025-10-13
DIREXIS TUSGSAL,1,AMB_105360,2025-10-14
DIREXIS TUSGSAL,1,AMB_105360,2025-10-15
DIREXIS TUSGSAL,1,AMB_105387,2025-10-13
DIREXIS TUSGSAL,1,AMB_105387,2025-10-14
DIREXIS TUSGSAL,1,AMB_105387,2025-10-15
DIREXIS TUSGSAL,1,AMB_105388,2025-10-13
DIREXIS TUSGSAL,1,AMB_105388,2025-10-14
DIREXIS TUSGSAL,1,AMB_105388,2025-10-15
Moventis,1,AMB_105425,2025-10-13
Avanza,1,AMB_105470,2025-10-13
Avanza,1,AMB_105470,2025-10-14
Avanza,1,AMB_105470,2025-10-15
DIREXIS TUSGSAL,1,AMB_105494,2025-10-13
DIREXIS TUSGSAL,1,AMB_105494,2025-10-14
DIREXIS TUSGSAL,1,AMB_105495,2025-10-13
DIREXIS TUSGSAL,1,AMB_105495,2025-10-14
DIREXIS TUSGSAL,1,AMB_105498,2025-10-13
DIREXIS TUSGSAL,1,AMB_105498,2025-10-14
DIREXIS TUSGSAL,1,AMB_105499,2025-10-13
DIREXIS TUSGSAL,1,AMB_105499,2025-10-14
DIREXIS TUSGSAL,1,AMB_105504,2025-10-13
DIREXIS TUSGSAL,1,AMB_105504,2025-10-14
DIREXIS TUSGSAL,1,AMB_105505,2025-10-13
DIREXIS TUSGSAL,1,AMB_105505,2025-10-14
DIREXIS TUSGSAL,1,AMB_105544,2025-10-13
DIREXIS TUSGSAL,1,AMB_105544,2025-10-14
DIREXIS TUSGSAL,1,AMB_105544,2025-10-15
DIREXIS TUSGSAL,1,AMB_105546,2025-10-13
DIREXIS TUSGSAL,1,AMB_105546,2025-10-14
DIREXIS TUSGSAL,1,AMB_105546,2025-10-15
DIREXIS TUSGSAL,1,AMB_105555,2025-10-13
DIREXIS TUSGSAL,1,AMB_105555,2025-10-14
DIREXIS TUSGSAL,1,AMB_105555,2025-10-15
Avanza,1,AMB_105624,2025-10-13
Avanza,1,AMB_105624,2025-10-14
Moventis,1,AMB_105628,2025-10-13
Moventis,1,AMB_105628,2025-10-14
Avanza,1,AMB_105701,2025-10-13
Avanza,1,AMB_105701,2025-10-14
Avanza,1,AMB_105701,2025-10-15
Avanza,1,AMB_105703,2025-10-13
Avanza,1,AMB_105703,2025-10-14
Avanza,1,AMB_105703,2025-10-15
Avanza,1,AMB_105704,2025-10-13
Avanza,1,AMB_105704,2025-10-14
Avanza,1,AMB_105704,2025-10-15
Avanza,1,AMB_105705,2025-10-13
Avanza,1,AMB_105705,2025-10-14
Avanza,1,AMB_105736,2025-10-13
Avanza,1,AMB_105736,2025-10-14
Avanza,1,AMB_105736,2025-10-15
DIREXIS TUSGSAL,1,AMB_105818,2025-10-13
DIREXIS TUSGSAL,1,AMB_105818,2025-10-14
DIREXIS TUSGSAL,1,AMB_105818,2025-10-15
DIREXIS TUSGSAL,1,AMB_105819,2025-10-13
DIREXIS TUSGSAL,1,AMB_105819,2025-10-14
DIREXIS TUSGSAL,1,AMB_105820,2025-10-13
DIREXIS TUSGSAL,1,AMB_105820,2025-10-14
DIREXIS TUSGSAL,1,AMB_105821,2025-10-13
DIREXIS TUSGSAL,1,AMB_105821,2025-10-14
DIREXIS TUSGSAL,1,AMB_105822,2025-10-13
DIREXIS TUSGSAL,1,AMB_105822,2025-10-14
DIREXIS TUSGSAL,1,AMB_105922,2025-10-13
DIREXIS TUSGSAL,1,AMB_105922,2025-10-14
DIREXIS TUSGSAL,1,AMB_105924,2025-10-13
DIREXIS TUSGSAL,1,AMB_105924,2025-10-14
DIREXIS TUSGSAL,1,AMB_105924,2025-10-15
DIREXIS TUSGSAL,1,AMB_105925,2025-10-14
DIREXIS TUSGSAL,1,AMB_105925,2025-10-15
DIREXIS TUSGSAL,1,AMB_105931,2025-10-13
DIREXIS TUSGSAL,1,AMB_105931,2025-10-14
DIREXIS TUSGSAL,1,AMB_105947,2025-10-13
DIREXIS TUSGSAL,1,AMB_105947,2025-10-14
DIREXIS TUSGSAL,1,AMB_105984,2025-10-13
DIREXIS TUSGSAL,1,AMB_105984,2025-10-14
DIREXIS TUSGSAL,1,AMB_105985,2025-10-13
DIREXIS TUSGSAL,1,AMB_105985,2025-10-14
DIREXIS TUSGSAL,1,AMB_105994,2025-10-13
DIREXIS TUSGSAL,1,AMB_105994,2025-10-14
Avanza,1,AMB_106070,2025-10-13
Avanza,1,AMB_106070,2025-10-14
Avanza,1,AMB_106070,2025-10-15
DIREXIS TUSGSAL,1,AMB_106157,2025-10-13
DIREXIS TUSGSAL,1,AMB_106157,2025-10-14
DIREXIS TUSGSAL,1,AMB_106157,2025-10-15
Monbus (Horta),1,AMB_106167,2025-10-13
Monbus (Horta),1,AMB_106167,2025-10-14
Avanza,1,AMB_106178,2025-10-13
Avanza,1,AMB_106178,2025-10-14
Avanza,1,AMB_106225,2025-10-13
Avanza,1,AMB_106225,2025-10-14
Avanza,1,AMB_106225,2025-10-15
Avanza,1,AMB_106226,2025-10-13
Avanza,1,AMB_106226,2025-10-14
Avanza,1,AMB_106226,2025-10-15
Avanza,1,AMB_106227,2025-10-13
Avanza,1,AMB_106227,2025-10-14
Avanza,1,AMB_106227,2025-10-15
Avanza,1,AMB_106228,2025-10-13
Avanza,1,AMB_106228,2025-10-14
Avanza,1,AMB_106228,2025-10-15
Avanza,1,AMB_106229,2025-10-13
Avanza,1,AMB_106229,2025-10-14
Avanza,1,AMB_106229,2025-10-15
Avanza,1,AMB_106375,2025-10-13
Avanza,1,AMB_106375,2025-10-14
Avanza,1,AMB_106376,2025-10-13
Avanza,1,AMB_106376,2025-10-14
Avanza,1,AMB_106377,2025-10-13
Avanza,1,AMB_106377,2025-10-14
Avanza,1,AMB_106383,2025-10-13
Avanza,1,AMB_106383,2025-10-14
Avanza,1,AMB_106384,2025-10-13
Avanza,1,AMB_106384,2025-10-14
Avanza,1,AMB_106386,2025-10-13
Avanza,1,AMB_106386,2025-10-14
Avanza,1,AMB_106386,2025-10-15
Avanza,1,AMB_106387,2025-10-13
Avanza,1,AMB_106387,2025-10-14
Avanza,1,AMB_106387,2025-10-15
Avanza,1,AMB_106444,2025-10-13
Avanza,1,AMB_106444,2025-10-14
Avanza,1,AMB_106466,2025-10-13
Avanza,1,AMB_106466,2025-10-14
Avanza,1,AMB_106468,2025-10-13
Avanza,1,AMB_106468,2025-10-14
Avanza,1,AMB_106471,2025-10-13
Avanza,1,AMB_106471,2025-10-14
Avanza,1,AMB_106711,2025-10-13
Avanza,1,AMB_106711,2025-10-14
Avanza,1,AMB_106711,2025-10-15
Avanza,1,AMB_106712,2025-10-13
Avanza,1,AMB_106712,2025-10-14
Avanza,1,AMB_106712,2025-10-15
Avanza,1,AMB_106766,2025-10-13
Avanza,1,AMB_106766,2025-10-14
Avanza,1,AMB_106766,2025-10-15
Avanza,1,AMB_106767,2025-10-13
Avanza,1,AMB_106767,2025-10-14
Avanza,1,AMB_106767,2025-10-15
Avanza,1,AMB_106768,2025-10-13
Avanza,1,AMB_106768,2025-10-14
Avanza,1,AMB_106768,2025-10-15
Avanza,1,AMB_106769,2025-10-13
Avanza,1,AMB_106769,2025-10-14
Avanza,1,AMB_106769,2025-10-15
Avanza,1,AMB_106770,2025-10-13
Avanza,1,AMB_106770,2025-10-14
Avanza,1,AMB_106770,2025-10-15
Avanza,1,AMB_106825,2025-10-14
Avanza,1,AMB_106825,2025-10-15
Avanza,1,AMB_106826,2025-10-13
Avanza,1,AMB_106826,2025-10-14
Avanza,1,AMB_106826,2025-10-15
Moventis,1,AMB_106835,2025-10-13
Moventis,1,AMB_106835,2025-10-14
Moventis,1,AMB_106840,2025-10-13
Moventis,1,AMB_106840,2025-10-14
Moventis,1,AMB_106841,2025-10-13
Moventis,1,AMB_106841,2025-10-14
Moventis,1,AMB_106848,2025-10-13
Moventis,1,AMB_106848,2025-10-14
Moventis,1,AMB_106849,2025-10-13
Moventis,1,AMB_106849,2025-10-14
Moventis,1,AMB_106850,2025-10-13
Moventis,1,AMB_106850,2025-10-14
Moventis,1,AMB_106856,2025-10-13
Moventis,1,AMB_106856,2025-10-14
Moventis,1,AMB_106858,2025-10-13
Moventis,1,AMB_106858,2025-10-14
Moventis,1,AMB_106861,2025-10-13
Moventis,1,AMB_106861,2025-10-14
Moventis,1,AMB_106862,2025-10-13
Moventis,1,AMB_106862,2025-10-14
Moventis,1,AMB_106863,2025-10-13
Moventis,1,AMB_106863,2025-10-14
Moventis,1,AMB_106864,2025-10-13
Moventis,1,AMB_106864,2025-10-14
Moventis,1,AMB_106867,2025-10-13
Moventis,1,AMB_106867,2025-10-14
Moventis,1,AMB_106868,2025-10-13
Moventis,1,AMB_106868,2025-10-14
Moventis,1,AMB_106869,2025-10-13
Moventis,1,AMB_106869,2025-10-14
DIREXIS TUSGSAL,1,AMB_106951,2025-10-13
DIREXIS TUSGSAL,1,AMB_106951,2025-10-14
Avanza,1,AMB_106968,2025-10-13
Avanza,1,AMB_106968,2025-10-14
Avanza,1,AMB_106972,2025-10-13
Avanza,1,AMB_106972,2025-10-14
Avanza,1,AMB_106972,2025-10-15
Avanza,1,AMB_106993,2025-10-13
Avanza,1,AMB_106993,2025-10-14
Avanza,1,AMB_107064,2025-10-13
Avanza,1,AMB_107064,2025-10-14
Avanza,1,AMB_107065,2025-10-13
Avanza,1,AMB_107065,2025-10-14
Avanza,1,AMB_107066,2025-10-13
Avanza,1,AMB_107066,2025-10-14
Avanza,1,AMB_107066,2025-10-15
Avanza,1,AMB_107070,2025-10-13
Avanza,1,AMB_107070,2025-10-14
Avanza,1,AMB_107072,2025-10-13
Avanza,1,AMB_107072,2025-10-14
Avanza,1,AMB_107090,2025-10-13
Avanza,1,AMB_107090,2025-10-14
Avanza,1,AMB_107106,2025-10-13
Avanza,1,AMB_107106,2025-10-14
Avanza,1,AMB_107107,2025-10-13
Avanza,1,AMB_107107,2025-10-14
Avanza,1,AMB_107107,2025-10-15
Avanza,1,AMB_107113,2025-10-13
Avanza,1,AMB_107113,2025-10-14
Avanza,1,AMB_107113,2025-10-15
Avanza,1,AMB_107117,2025-10-13
Avanza,1,AMB_107117,2025-10-14
Avanza,1,AMB_107117,2025-10-15
Avanza,1,AMB_107128,2025-10-13
Avanza,1,AMB_107128,2025-10-14
Avanza,1,AMB_107128,2025-10-15
Avanza,1,AMB_107136,2025-10-13
Avanza,1,AMB_107136,2025-10-14
Avanza,1,AMB_107136,2025-10-15
Avanza,1,AMB_107141,2025-10-13
Avanza,1,AMB_107141,2025-10-14
Avanza,1,AMB_107141,2025-10-15
Monbus (Horta),1,AMB_107150,2025-10-13
Monbus (Horta),1,AMB_107150,2025-10-14
DIREXIS TUSGSAL,1,AMB_107189,2025-10-14
DIREXIS TUSGSAL,1,AMB_107189,2025-10-15
DIREXIS TUSGSAL,1,AMB_107199,2025-10-14
DIREXIS TUSGSAL,1,AMB_107199,2025-10-15
Monbus (Horta),1,AMB_107229,2025-10-13
Monbus (Horta),1,AMB_107229,2025-10-14
Moventis,1,AMB_107238,2025-10-13
Moventis,1,AMB_107238,2025-10-14
Avanza,1,AMB_107301,2025-10-13
Avanza,1,AMB_107301,2025-10-14
Avanza,1,AMB_107301,2025-10-15
Avanza,1,AMB_107303,2025-10-13
Avanza,1,AMB_107303,2025-10-14
Avanza,1,AMB_107303,2025-10-15
Avanza,1,AMB_107483,2025-10-13
Avanza,1,AMB_107483,2025-10-14
Avanza,1,AMB_107483,2025-10-15
Avanza,1,AMB_107484,2025-10-13
Avanza,1,AMB_107484,2025-10-14
Avanza,1,AMB_107484,2025-10-15
Avanza,1,AMB_107486,2025-10-13
Avanza,1,AMB_107486,2025-10-14
Avanza,1,AMB_107486,2025-10-15
Moventis,1,AMB_107489,2025-10-13
Moventis,1,AMB_107489,2025-10-14
Moventis,1,AMB_107617,2025-10-13
Moventis,1,AMB_107617,2025-10-14
Moventis,1,AMB_107620,2025-10-13
Moventis,1,AMB_107620,2025-10-14
Moventis,1,AMB_107638,2025-10-13
Moventis,1,AMB_107638,2025-10-14
Moventis (Port),1,AMB_107729,2025-10-13
Moventis (Port),1,AMB_107729,2025-10-14
Moventis (Port),1,AMB_107730,2025-10-13
Moventis (Port),1,AMB_107730,2025-10-14
Moventis (Port),1,AMB_107731,2025-10-13
Moventis (Port),1,AMB_107731,2025-10-14
Moventis (Port),1,AMB_107734,2025-10-13
Moventis (Port),1,AMB_107734,2025-10-14
Moventis (Port),1,AMB_107735,2025-10-13
Moventis (Port),1,AMB_107735,2025-10-14
Moventis (Port),1,AMB_107736,2025-10-13
Moventis (Port),1,AMB_107736,2025-10-14
Moventis (Port),1,AMB_107738,2025-10-13
Moventis (Port),1,AMB_107738,2025-10-14
DIREXIS TUSGSAL,1,AMB_107806,2025-10-13
DIREXIS TUSGSAL,1,AMB_107806,2025-10-14
Moventis,1,AMB_108557,2025-10-13
Moventis,1,AMB_108557,2025-10-14
DIREXIS TUSGSAL,1,AMB_108631,2025-10-13
DIREXIS TUSGSAL,1,AMB_108631,2025-10-14
DIREXIS TUSGSAL,1,AMB_108631,2025-10-15
Avanza,1,AMB_108665,2025-10-13
Avanza,1,AMB_108665,2025-10-14
DIREXIS TUSGSAL,1,AMB_108797,2025-10-13
DIREXIS TUSGSAL,1,AMB_108797,2025-10-14
DIREXIS TUSGSAL,1,AMB_108822,2025-10-13
DIREXIS TUSGSAL,1,AMB_108822,2025-10-14
DIREXIS TUSGSAL,1,AMB_108823,2025-10-13
DIREXIS TUSGSAL,1,AMB_108823,2025-10-14
DIREXIS TUSGSAL,1,AMB_108824,2025-10-13
DIREXIS TUSGSAL,1,AMB_108824,2025-10-14
DIREXIS TUSGSAL,1,AMB_108832,2025-10-13
DIREXIS TUSGSAL,1,AMB_108832,2025-10-14
DIREXIS TUSGSAL,1,AMB_108832,2025-10-15
Avanza,1,AMB_108834,2025-10-13
Avanza,1,AMB_108834,2025-10-14
Avanza,1,AMB_108834,2025-10-15
Monbus (Horta),1,AMB_108984,2025-10-13
Monbus (Horta),1,AMB_108984,2025-10-14
Avanza,1,AMB_109072,2025-10-13
Avanza,1,AMB_109072,2025-10-14
Moventis (Port),1,AMB_109094,2025-10-13
Moventis (Port),1,AMB_109094,2025-10-14
Moventis (Port),1,AMB_109095,2025-10-13
Moventis (Port),1,AMB_109095,2025-10-14
Moventis (Port),1,AMB_109097,2025-10-13
Moventis (Port),1,AMB_109097,2025-10-14
Moventis (Port),1,AMB_109098,2025-10-13
Moventis (Port),1,AMB_109098,2025-10-14
Moventis (Port),1,AMB_109099,2025-10-13
Moventis (Port),1,AMB_109099,2025-10-14
Moventis,1,AMB_109108,2025-10-13
Moventis,1,AMB_109108,2025-10-14
Moventis,1,AMB_109109,2025-10-13
Moventis,1,AMB_109109,2025-10-14
Avanza,1,AMB_109182,2025-10-13
Avanza,1,AMB_109182,2025-10-14
Avanza,1,AMB_109182,2025-10-15
DIREXIS TUSGSAL,1,AMB_109187,2025-10-13
DIREXIS TUSGSAL,1,AMB_109187,2025-10-15
DIREXIS TUSGSAL,1,AMB_109210,2025-10-13
DIREXIS TUSGSAL,1,AMB_109210,2025-10-14
Moventis,1,AMB_109216,2025-10-13
Moventis,1,AMB_109216,2025-10-14
Monbus (Horta),1,AMB_109220,2025-10-13
Monbus (Horta),1,AMB_109220,2025-10-14
Moventis,1,AMB_109231,2025-10-13
Moventis,1,AMB_109231,2025-10-14
Avanza,1,AMB_109237,2025-10-13
Avanza,1,AMB_109237,2025-10-14
Avanza,1,AMB_109237,2025-10-15
DIREXIS TUSGSAL,1,AMB_109261,2025-10-13
DIREXIS TUSGSAL,1,AMB_109261,2025-10-14
Moventis,1,AMB_109268,2025-10-13
Moventis,1,AMB_109268,2025-10-14
DIREXIS TUSGSAL,1,AMB_109279,2025-10-13
DIREXIS TUSGSAL,1,AMB_109279,2025-10-14
Moventis,1,AMB_109281,2025-10-13
Moventis,1,AMB_109281,2025-10-14
Moventis,1,AMB_109286,2025-10-13
Moventis,1,AMB_109286,2025-10-14
Avanza,1,AMB_109290,2025-10-13
Avanza,1,AMB_109290,2025-10-14
Avanza,1,AMB_109290,2025-10-15
Avanza,1,AMB_109291,2025-10-13
Avanza,1,AMB_109291,2025-10-14
Avanza,1,AMB_109291,2025-10-15
Avanza,1,AMB_109563,2025-10-13
Avanza,1,AMB_109563,2025-10-14
Avanza,1,AMB_109564,2025-10-13
Avanza,1,AMB_109564,2025-10-14
Avanza,1,AMB_109565,2025-10-13
Avanza,1,AMB_109565,2025-10-14
Avanza,1,AMB_109566,2025-10-13
Avanza,1,AMB_109566,2025-10-14
Avanza,1,AMB_109575,2025-10-13
Avanza,1,AMB_109575,2025-10-14
Avanza,1,AMB_109576,2025-10-13
Avanza,1,AMB_109576,2025-10-14
Avanza,1,AMB_109580,2025-10-13
Avanza,1,AMB_109580,2025-10-14
Avanza,1,AMB_109640,2025-10-13
Avanza,1,AMB_109640,2025-10-14
DIREXIS TUSGSAL,1,AMB_109710,2025-10-13
DIREXIS TUSGSAL,1,AMB_109710,2025-10-14
DIREXIS TUSGSAL,1,AMB_109710,2025-10-15
Avanza,1,AMB_109860,2025-10-13
Avanza,1,AMB_109860,2025-10-14
Avanza,1,AMB_109880,2025-10-13
Avanza,1,AMB_109880,2025-10-14
Moventis,1,AMB_109950,2025-10-13
Moventis,1,AMB_109950,2025-10-14
Moventis,1,AMB_109956,2025-10-13
Moventis,1,AMB_109956,2025-10-14
Moventis,1,AMB_109962,2025-10-13
Moventis,1,AMB_109962,2025-10-14
DIREXIS TUSGSAL,1,AMB_109966,2025-10-13
DIREXIS TUSGSAL,1,AMB_109966,2025-10-14
DIREXIS TUSGSAL,1,AMB_109966,2025-10-15
DIREXIS TUSGSAL,1,AMB_109979,2025-10-13
DIREXIS TUSGSAL,1,AMB_109979,2025-10-14
DIREXIS TUSGSAL,1,AMB_109979,2025-10-15
Moventis (Port),1,AMB_110004,2025-10-13
Moventis (Port),1,AMB_110004,2025-10-14
Moventis (Port),1,AMB_110005,2025-10-13
Moventis (Port),1,AMB_110005,2025-10-14
Moventis (Port),1,AMB_110006,2025-10-13
Moventis (Port),1,AMB_110006,2025-10-14
Moventis (Port),1,AMB_110007,2025-10-13
Moventis (Port),1,AMB_110007,2025-10-14
Moventis (Port),1,AMB_110008,2025-10-13
Moventis (Port),1,AMB_110008,2025-10-14
Moventis (Port),1,AMB_110012,2025-10-13
Moventis (Port),1,AMB_110012,2025-10-14
Moventis (Port),1,AMB_110013,2025-10-13
Moventis (Port),1,AMB_110013,2025-10-14
Moventis (Port),1,AMB_110014,2025-10-13
Moventis (Port),1,AMB_110014,2025-10-14
Moventis (Port),1,AMB_110015,2025-10-13
Moventis (Port),1,AMB_110015,2025-10-14
Moventis (Port),1,AMB_110016,2025-10-13
Moventis (Port),1,AMB_110016,2025-10-14
Moventis (Port),1,AMB_110017,2025-10-13
Moventis (Port),1,AMB_110017,2025-10-14
Moventis (Port),1,AMB_110020,2025-10-13
Moventis (Port),1,AMB_110020,2025-10-14
Moventis (Port),1,AMB_110021,2025-10-13
Moventis (Port),1,AMB_110021,2025-10-14
Moventis (Port),1,AMB_110022,2025-10-13
Moventis (Port),1,AMB_110022,2025-10-14
Moventis (Port),1,AMB_110023,2025-10-13
Moventis (Port),1,AMB_110023,2025-10-14
Moventis (Port),1,AMB_110024,2025-10-13
Moventis (Port),1,AMB_110024,2025-10-14
Moventis (Port),1,AMB_110025,2025-10-13
Moventis (Port),1,AMB_110025,2025-10-14
DIREXIS TUSGSAL,1,AMB_110027,2025-10-13
DIREXIS TUSGSAL,1,AMB_110027,2025-10-14
DIREXIS TUSGSAL,1,AMB_110027,2025-10-15
Moventis (Port),1,AMB_110029,2025-10-13
Moventis (Port),1,AMB_110029,2025-10-14
Moventis (Port),1,AMB_110030,2025-10-13
Moventis (Port),1,AMB_110030,2025-10-14
Moventis (Port),1,AMB_110032,2025-10-13
Moventis (Port),1,AMB_110032,2025-10-14
Moventis (Port),1,AMB_110033,2025-10-13
Moventis (Port),1,AMB_110033,2025-10-14
Moventis (Port),1,AMB_110034,2025-10-13
Moventis (Port),1,AMB_110034,2025-10-14
Moventis (Port),1,AMB_110035,2025-10-13
Moventis (Port),1,AMB_110035,2025-10-14
Avanza,1,AMB_110036,2025-10-13
Avanza,1,AMB_110036,2025-10-14
Avanza,1,AMB_110036,2025-10-15
Avanza,1,AMB_110037,2025-10-13
Avanza,1,AMB_110037,2025-10-14
Avanza,1,AMB_110037,2025-10-15
Avanza,1,AMB_110038,2025-10-13
Avanza,1,AMB_110038,2025-10-14
Avanza,1,AMB_110039,2025-10-13
Avanza,1,AMB_110039,2025-10-14
Avanza,1,AMB_110040,2025-10-13
Avanza,1,AMB_110040,2025-10-14
Avanza,1,AMB_110073,2025-10-13
Avanza,1,AMB_110073,2025-10-14
Avanza,1,AMB_110074,2025-10-13
Avanza,1,AMB_110074,2025-10-14
Moventis (Port),1,AMB_110080,2025-10-13
Moventis (Port),1,AMB_110080,2025-10-14
Moventis (Port),1,AMB_110081,2025-10-13
Moventis (Port),1,AMB_110081,2025-10-14
Moventis,1,AMB_110363,2025-10-13
Moventis,1,AMB_110363,2025-10-14
Moventis,1,AMB_110364,2025-10-13
Moventis,1,AMB_110364,2025-10-14
DIREXIS TUSGSAL,1,AMB_110386,2025-10-13
DIREXIS TUSGSAL,1,AMB_110386,2025-10-14
DIREXIS TUSGSAL,1,AMB_110390,2025-10-13
DIREXIS TUSGSAL,1,AMB_110390,2025-10-14
DIREXIS TUSGSAL,1,AMB_110390,2025-10-15
DIREXIS TUSGSAL,1,AMB_110393,2025-10-13
DIREXIS TUSGSAL,1,AMB_110393,2025-10-14
DIREXIS TUSGSAL,1,AMB_110393,2025-10-15
Avanza,1,AMB_110458,2025-10-13
Avanza,1,AMB_110458,2025-10-14
DIREXIS TUSGSAL,1,AMB_110472,2025-10-13
DIREXIS TUSGSAL,1,AMB_110472,2025-10-14
DIREXIS TUSGSAL,1,AMB_110476,2025-10-13
DIREXIS TUSGSAL,1,AMB_110476,2025-10-14
DIREXIS TUSGSAL,1,AMB_110477,2025-10-13
DIREXIS TUSGSAL,1,AMB_110477,2025-10-14
Moventis,1,AMB_110479,2025-10-13
Moventis,1,AMB_110479,2025-10-14
